#N      x      y       z       u       v       w       p
1       2       3       4       5       6       7       8
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12
1       2       3       4       5       6       7       8
2       3       4       5       6       7       8       9
3       4       5       6       7       8       9       10
1       2       3       4       5       6       7       11
2       3       4       5       6       7       8       12

